SubjectID,ItemID,logTrial,Duration,Condition,logRT
16,7c,5.10594547390058,605.4391534,SS,5.694008194971783
20,8c,1.6094379124341003,870.266876,SS,7.299387823447287
20,14c,2.302585092994046,787.1098294,SS,7.579576162049796
20,17c,2.772588722239781,604.570207,SS,7.255610341868487
20,39c,2.9444389791664403,660.7690465,DS,6.929828855132664
20,24c,3.1780538303479458,903.5293517,DS,6.9032842990302
20,34c,3.258096538021482,959.4527589,DS,7.28639991220586
20,31c,3.367295829986474,668.1356374,DS,7.044048603957617
20,23c,3.4657359027997265,784.1269841,DS,6.868163777095209
20,11c,3.5553480614894135,720.112523,SS,6.591130374540179
20,32c,3.713572066704308,854.8700506,DS,6.650767932944971
20,36c,3.8066624897703196,724.3123373,DS,6.857551916718502
20,26c,3.8501476017100584,807.2335601,DS,7.11415543876293
20,33c,3.9889840465642745,720.4006047,DS,6.701600350344729
20,29c,4.143134726391533,790.8341923,DS,6.878381049705955
20,12c,4.204692619390966,691.3405362,SS,6.822514333852729
20,9c,4.248495242049359,693.041421,SS,6.999493632858859
20,30c,4.30406509320417,518.085088,DS,7.523597999444412
20,22c,4.343805421853684,589.8841073,DS,7.074428367998755
20,1c,4.3694478524670215,773.1769584,SS,6.17622479454387
20,10c,4.418840607796598,725.9501134,SS,6.818007798636888
20,40c,4.5217885770490405,753.5880192,DS,7.294992599083507
20,5c,4.553876891600541,791.3650794,SS,6.365848261086316
20,37c,4.574710978503383,546.5464853,DS,6.9872510678921
20,18c,4.605170185988092,783.9523412,SS,6.5578786029372385
20,3c,4.634728988229636,800.6928247,SS,6.610382401997319
20,21c,4.663439094112067,797.3815193,DS,6.577066883656541
20,15c,4.709530201312334,811.3429398,SS,6.051206426480748
20,16c,4.727387818712341,563.672954,SS,6.872235867552725
20,19c,4.770684624465665,715.034244,SS,6.8354092920818275
20,4c,4.787491742782046,559.4009826,SS,6.976500253078402
20,13c,4.890349128221754,674.4879819,SS,6.253623021171311
20,25c,4.90527477843843,674.0343915,DS,6.040823597050261
20,27c,4.9344739331306915,696.4517625,DS,6.003432642883836
20,28c,4.969813299576001,704.6816675,DS,6.668845592763984
20,2c,5.003946305945459,767.5021804,SS,5.781706015403895
20,6c,5.0369526024136295,623.0544218,SS,6.419742453281303
20,35c,5.075173815233827,822.5383743,DS,6.549756602152626
20,20c,5.087596335232384,753.5056022,SS,6.024761499383608
20,7c,5.10594547390058,605.4391534,SS,6.665535936162605
24,8c,1.6094379124341003,870.266876,SS,5.469135512083562
24,14c,2.302585092994046,787.1098294,SS,5.867549624802349
24,17c,2.772588722239781,604.570207,SS,5.861031207699792
24,39c,2.9444389791664403,660.7690465,DS,5.9817929274112505
24,24c,3.1780538303479458,903.5293517,DS,5.671018207062228
24,34c,3.258096538021482,959.4527589,DS,5.8056920426377685
24,31c,3.367295829986474,668.1356374,DS,5.7924524753687
24,23c,3.4657359027997265,784.1269841,DS,5.6400365282371805
24,11c,3.5553480614894135,720.112523,SS,6.454146122926492
24,32c,3.713572066704308,854.8700506,DS,5.120189006005699
24,36c,3.8066624897703196,724.3123373,DS,5.740785988047957
24,26c,3.8501476017100584,807.2335601,DS,4.930762016513075
