SampleNum,p.val,effect,n
136,0.36855638246179234,0.03877591361197426,12
137,0.5596834893772153,0.02254500638526748,12
138,0.01050924587771412,0.12104474356750551,12
139,0.11207710713292915,0.06834439250379619,12
140,0.48434879638379,-0.02457695107480948,12
141,0.23476009763783523,0.04902073129527745,12
142,0.8491826665819113,-0.007426317017797747,12
143,0.668091756722351,0.01694496651148112,12
144,0.4250939533830239,0.0335824590451156,12
145,0.48257533694183596,0.03402546825230639,12
146,0.2820253180765798,0.04543900176994836,12
147,0.24752540644921667,0.0535576165463694,12
148,0.26698793733503845,0.04892359180763,12
149,0.5676876391034538,-0.020676394221015713,12
150,0.7970947628279323,-0.009662878743599444,12
151,0.7762718074342267,0.01189946470228349,12
152,0.26712035745513957,0.04311385346133268,12
153,0.6962167947619118,0.01424139115327108,12
154,0.8795495694216173,-0.0076320042660468984,12
155,0.4402155768501741,0.043026426429322466,12
156,0.782830844072378,0.012025005298557158,12
157,0.06707503293104114,0.08747386690620332,12
158,0.22997531341072078,0.05423208123201282,12
159,0.4191196194407246,0.03232904669081433,12
160,0.7144901408868166,0.018183321773674568,12
161,0.268843296889771,0.045622023962631854,12
162,0.10738233702358403,0.06463102351310099,12
163,0.247417799630579,0.050401771780728875,12
164,0.5414399078974443,-0.03112669374588336,12
165,0.994834901699472,-2.3535421134972603e-4,12
166,0.035462077009989615,0.10369693602109342,12
167,0.6188988709952856,0.023240157842074657,12
168,0.10298202059729511,0.06656353412378224,12
169,0.8613296295241064,0.00738616449746917,12
170,0.5528401418178972,0.021734959792307208,12
171,0.3034186814753619,0.04844738149367635,12
172,0.7441128311579108,0.015604542582502542,12
173,0.6256856651555385,-0.020472158635391535,12
174,0.7123528342742682,0.015653577468792673,12
175,0.4372784166888015,0.029767272222632948,12
176,0.39897004127391955,0.03355601727553862,12
177,0.6528153805560274,0.02087265360148837,12
178,0.19920381155766462,0.05075247971033941,12
179,0.17868308080752424,0.0607593862121819,12
180,0.37189837590645436,0.04826492636490609,12
181,0.8079222725546689,-0.008980276480387201,12
182,0.575077381800595,0.022472612282399385,12
183,0.0693333765826573,0.08580593477910181,12
184,0.9213599022280561,0.003978980360085775,12
185,0.44850015945126,0.033688424115670405,12
186,0.6399746744040146,0.020062350533268415,12
187,0.2939364397419288,-0.04142443424808584,12
188,0.06800879419419466,0.06784025290648346,12
189,0.03314133529351571,0.08629520600840992,12
190,0.41723006126459583,0.033962416684554256,12
191,0.7250723902694831,0.012101121308451469,12
